,class
1391,0
127886,0
94746,0
89375,0
9574,0
44059,0
111079,0
94220,0
120118,0
73953,1
28563,1
6028,1
25349,0
74446,0
90063,0
128914,0
19442,1
41217,1
83492,0
451,0
41096,1
98124,0
76622,1
127656,1
71566,0
90794,0
6270,1
100220,0
45188,1
945,1
92529,0
37963,0
9956,0
35097,1
43840,1
64237,0
92436,0
118258,0
106292,0
99421,0
114991,1
103032,0
74790,1
59415,1
28423,0
110645,0
94592,1
100348,1
57944,1
22465,1
80529,0
65251,0
80619,0
34208,0
37786,0
50505,0
134466,0
130647,0
92719,1
28571,1
71705,0
31081,0
23096,0
29310,1
130697,1
100387,0
66922,1
59901,1
70817,1
18938,0
134364,0
9493,0
111911,1
18924,1
118928,1
132212,1
41978,0
90757,0
102572,1
35340,0
100155,0
22372,1
109324,0
122711,0
99114,0
60154,0
77024,0
108860,1
92153,1
102330,0
70965,0
92099,0
123143,0
50811,0
104071,0
47283,1
44593,0
47652,0
78931,1
30119,1
111945,0
84736,0
81235,1
99159,1
32274,0
32725,0
58063,1
121229,1
65112,0
131619,0
99509,1
108786,1
12331,0
59321,1
70872,1
64931,1
111930,1
202,1
32956,1
58601,1
74161,1
49150,1
100097,1
77436,0
17918,0
109521,1
122298,0
101959,1
83755,0
63780,0
15488,0
6755,1
41079,1
59771,0
117690,0
79132,0
113120,1
40364,0
55340,0
24015,0
26029,0
80743,0
136735,1
44293,0
37832,0
59987,0
19579,0
89651,0
55878,0
121033,0
7271,0
100159,1
10689,0
83054,0
21608,0
95800,0
108547,0
8841,1
59314,0
104918,0
91150,1
68317,0
19450,0
19971,0
106619,0
95234,0
21305,0
128624,0
36589,1
135534,0
22314,0
109407,0
47756,1
22169,0
33768,1
135949,0
127905,1
1700,0
102387,0
39731,1
112442,0
128402,1
94917,0
129734,1
11223,1
48070,0
56436,0
137211,0
63260,0
48220,1
34949,1
75270,1
57989,1
81831,1
83392,1
98085,1
10865,0
39042,1
35190,1
87663,0
109094,0
56003,0
91165,0
6552,1
135400,0
6879,1
89734,0
11839,0
107595,0
13071,0
112765,0
206,0
118524,0
89399,0
94349,0
106482,0
115194,1
9006,0
62771,0
105271,0
117395,0
119527,1
42442,0
129236,0
41471,1
67392,1
109449,1
101761,1
48937,1
12977,0
106871,0
101680,1
44475,0
131505,1
8543,1
96552,0
102359,1
130708,0
36360,1
10197,0
129136,0
29272,0
37970,0
65935,1
46384,0
102681,1
90932,0
14485,0
110244,0
51256,1
30968,0
83881,1
74362,0
23983,0
54240,1
38164,0
80223,0
86868,1
61142,1
65294,1
93574,0
56396,1
37845,0
61626,1
26330,1
7132,1
87966,0
53926,0
63588,0
85729,0
108932,0
42291,1
13033,1
53310,0
118233,0
123439,0
114426,0
114696,0
31378,1
51195,1
89463,0
32775,0
6741,0
53962,1
96997,0
97701,1
89083,1
95337,0
5424,0
49125,1
87548,1
19104,0
113177,1
89148,1
99732,0
124323,1
111019,0
59365,0
65097,0
41436,0
69389,0
44131,0
128035,1
22069,0
380,1
84081,0
100984,1
132954,1
82627,1
16813,1
27062,0
25057,0
64068,1
113021,0
109665,0
30261,1
128756,0
79838,1
130133,0
110989,1
46894,0
29921,1
133977,0
131614,0
10421,1
130944,0
107851,0
60735,0
7356,1
90836,0
110775,0
133916,1
81011,1
97846,1
19052,1
13747,0
37482,0
121499,0
57753,1
15718,0
24444,0
63128,0
31716,0
33503,0
3670,1
29175,1
2612,0
95519,1
64143,1
104817,0
63807,0
91766,0
113921,0
85512,1
55968,0
6855,0
81193,0
88769,1
13655,0
19117,0
23876,1
38265,0
21013,1
86695,0
9513,0
58282,1
75714,0
67763,0
11024,0
70500,0
109155,1
75110,1
95293,1
89970,1
54362,0
17141,0
112957,1
124747,0
83165,0
96582,1
54425,1
42957,0
66182,0
131043,0
93570,1
81933,1
92118,1
98547,1
90485,0
123274,1
11718,1
121643,0
79287,0
64088,1
39479,0
53043,0
9741,0
130642,0
83812,0
56360,0
108103,0
34403,0
70752,0
7540,0
82633,0
117470,0
67760,1
111684,1
52339,0
116955,0
113876,0
129621,1
12379,0
38825,0
41608,1
130949,0
24049,1
133626,1
25036,0
119743,0
54777,1
51488,0
84730,1
136778,1
57405,1
98502,0
4305,0
52892,0
41691,0
129117,1
26867,1
34984,0
103119,0
68738,0
11973,0
113568,1
104807,1
133156,0
15158,0
24155,0
46093,0
137000,1
99263,0
61985,1
60704,0
120766,0
80644,0
79402,1
83717,0
135350,0
10183,0
119452,1
36968,1
35737,0
119775,1
3143,1
9014,1
23973,0
99850,1
24021,1
71045,1
38765,1
26415,1
19126,1
119473,0
134714,1
82834,1
70879,1
78201,1
86870,0
94120,0
96933,0
46982,1
124527,1
2850,1
135932,1
99239,0
65714,1
19664,0
8740,0
31842,0
79394,0
127127,1
34337,0
95319,0
34528,0
26611,0
56326,1
85517,0
116561,1
71850,1
103478,1
99602,1
114380,1
42877,1
6111,0
113454,1
28147,1
25734,0
45791,0
79763,1
84278,0
73169,1
133250,0
85124,0
91884,0
38336,0
10561,0
112057,1
27011,0
36342,1
50624,0
54699,0
8513,0
95137,0
133878,0
75653,0
64210,0
19047,0
105292,0
4015,0
103767,0
130360,0
94759,1
131046,0
103673,0
39038,1
90131,0
40397,0
74621,1
121677,0
55823,1
11665,1
39664,0
12520,0
45781,0
52504,0
92287,1
67614,0
46947,1
49374,0
24639,0
127255,1
36904,0
75498,1
57212,1
128010,0
89739,0
32998,0
29690,0
132782,1
101149,0
2138,0
73464,0
114490,0
35823,0
133476,0
63049,0
58190,1
34547,0
34797,0
39307,1
78060,1
35572,0
86104,0
92326,0
111643,0
34035,1
59001,0
82021,0
5062,1
123107,1
85545,0
64587,1
77890,1
88789,0
101598,0
100297,0
92439,0
56001,1
73167,1
76136,1
46302,0
98018,0
65511,1
55677,1
74467,0
124025,0
10852,0
120744,0
68733,1
21988,0
54149,0
2766,0
84202,0
112826,0
38505,1
49363,0
24226,1
70997,0
14033,0
7997,1
14952,0
22977,1
99039,1
15697,1
109019,1
117546,0
17329,0
125902,1
100117,0
43320,0
72906,1
32981,0
39724,1
1930,0
14543,1
131062,1
50409,0
9069,1
56533,1
108227,0
137290,1
8567,0
343,0
122209,0
110930,0
61363,1
63486,0
76925,0
38673,0
132970,0
19643,1
2582,0
21237,0
23288,0
38288,0
38698,0
83551,0
134935,1
62363,0
114593,0
137372,1
52064,0
99982,1
33360,0
62128,0
37821,0
12305,0
37876,0
103705,1
50156,1
17106,0
82820,0
87427,1
68688,0
51585,1
101250,0
78897,0
121848,0
20779,0
41406,1
97329,0
106155,1
112080,1
101580,0
28849,1
113610,0
127375,0
58990,0
51230,0
19702,0
1392,0
95738,1
122473,0
56144,1
74140,0
97440,0
108898,0
31155,1
1396,0
125400,0
107232,0
30099,0
14447,0
50063,1
11854,1
127614,1
67644,1
117604,0
121774,0
110508,1
2953,0
55437,0
41186,0
41020,0
137599,1
62038,1
111891,0
114527,0
68046,1
73405,1
87546,0
36575,1
43081,0
25578,0
99661,1
59759,0
107832,1
2355,1
13200,1
67931,1
18745,1
16507,1
76150,1
51365,0
25158,0
108292,0
15785,1
19955,0
106499,0
45479,1
95649,0
36835,0
32151,0
121174,0
123286,0
37777,1
16642,1
86200,1
127310,0
91581,1
124368,0
108452,0
64161,0
94108,0
73030,0
26045,0
113539,0
116901,1
8608,1
85713,0
5299,0
12787,1
2345,1
32362,1
73744,0
99354,1
108625,1
1542,0
395,0
136995,0
137220,0
5242,0
68399,1
125373,0
58911,1
40299,0
38856,0
40620,1
40118,0
112969,1
35140,0
113444,0
69474,0
2534,0
53623,0
300,0
48201,1
91813,0
43786,1
128721,0
93280,0
106663,0
74901,1
91341,0
33812,0
41169,1
278,0
20371,1
31026,1
135556,0
89377,0
67162,0
63058,1
135274,0
12349,1
115586,0
90420,0
58232,0
46417,0
52949,0
120746,0
98875,1
19871,0
25415,1
51050,1
43966,1
19854,0
59554,0
53536,0
61430,0
86507,0
88398,0
15217,0
20616,0
51206,0
107184,0
79409,0
128885,0
91233,0
110959,0
29050,0
100942,1
107653,1
123850,0
91592,1
83588,0
52702,1
101347,0
77671,0
137469,1
80893,0
91644,1
56018,0
23143,1
103840,0
35740,1
136153,0
104503,0
17044,0
25002,0
41474,0
86876,1
105345,1
27782,1
45252,1
51659,0
8885,1
104352,0
41187,1
29275,0
112612,1
109307,0
84621,0
58060,0
101631,0
29132,0
30835,1
29198,0
40205,0
78945,0
78497,0
45350,1
8473,0
7465,0
17878,1
88146,0
25130,0
50160,0
132884,0
78202,1
30131,1
38231,1
63465,0
36027,0
104454,0
134098,0
64169,1
45232,0
21199,0
27022,0
125394,0
43069,0
91002,1
24769,0
134925,0
71416,1
88231,0
82965,1
55296,0
86384,0
47677,0
128199,1
131404,0
63469,1
113647,1
65101,0
62948,1
28506,1
15825,1
21022,0
115974,0
70475,1
47928,0
120939,1
86064,0
65757,0
52104,0
107809,0
86144,0
118852,0
65947,1
86163,0
3169,1
105742,1
43612,1
80184,0
123137,1
97934,0
59160,0
95711,0
59496,0
136227,1
42593,1
30157,0
63939,1
5612,0
126818,0
129494,1
82518,0
98098,0
112838,0
131016,0
23333,0
104732,0
25250,1
37056,0
90630,1
52871,0
67232,0
87503,1
74173,0
47107,0
137688,1
85900,1
22055,1
64948,0
48638,1
87147,0
28753,0
120333,0
60847,0
31791,0
17739,0
77321,0
106995,1
91386,0
89255,0
57789,1
84071,0
11821,0
90913,1
22245,1
58469,0
98233,0
112615,1
89225,0
69251,1
112303,0
18916,0
133972,0
91769,1
17325,0
26315,0
65867,0
34925,0
89844,1
86751,0
87789,0
66190,0
27474,1
16783,1
125594,0
10643,0
78462,0
68382,0
109334,0
11670,0
32633,0
115122,0
133881,1
25128,1
12924,1
44246,1
119591,0
79165,0
129764,0
58750,1
42963,0
11521,1
59123,0
94835,0
48355,1
86153,0
15331,0
25444,0
19516,1
1301,0
87422,0
92029,1
61221,0
46871,1
2752,1
69810,1
64670,0
79487,1
69347,0
76160,1
76192,1
134431,1
13078,0
42582,1
35873,0
64613,1
110617,1
55527,0
116710,1
13141,1
20412,1
58736,0
131593,0
103455,0
94980,0
131624,1
37571,1
71561,0
25027,1
46831,0
82808,1
42076,1
2537,0
21006,1
93928,0
38651,0
28432,1
133200,0
102261,1
64994,0
37842,1
20777,0
90866,0
55533,1
116722,0
100649,0
20119,1
1776,0
43896,0
97266,1
118240,0
36197,1
34004,0
1431,0
133038,1
75012,0
95663,1
29328,1
82013,0
11340,0
62201,1
125808,1
63970,1
14440,0
80592,0
75013,0
100661,0
70445,0
98851,0
108743,0
43341,1
111597,0
59414,1
85552,0
45047,1
30875,0
104741,0
76588,0
129654,0
73962,0
123340,0
52832,0
77385,0
63456,1
71349,0
85170,0
12975,0
17160,0
125210,1
16522,0
35988,0
130564,1
66399,0
96906,1
119647,1
104514,0
137140,0
82372,1
83147,0
61324,0
94502,1
2445,0
82320,1
27742,0
122434,1
132357,0
108131,0
15801,0
92941,1
23234,0
103613,0
69423,0
52451,1
55489,1
95380,0
95166,1
27934,0
13463,0
65630,0
136288,1
93691,0
74709,0
135005,1
34012,0
129509,1
37523,1
51112,1
35540,1
43656,0
25959,0
103421,0
20989,1
97918,0
40166,0
39677,1
90584,1
16969,0
135357,1
127101,1
96437,0
31424,0
88233,1
36395,1
8595,0
78034,0
20847,1
6868,0
12841,1
92867,0
78789,0
46819,0
29416,0
77590,0
12942,0
18517,0
106876,1
33395,1
113406,0
32396,1
86780,0
54204,0
131423,0
45670,1
128390,0
60994,0
48116,0
98676,1
131105,0
99620,1
115008,0
40415,0
58297,1
98116,0
65018,1
9805,0
101209,0
41291,0
40769,0
79280,1
120753,0
52011,0
394,1
89710,1
52244,0
30000,1
20515,0
38053,0
116667,0
107068,0
125224,0
87844,1
59665,1
6325,0
53028,1
101493,0
133215,0
133063,0
77145,0
110596,0
69643,0
37927,1
134325,0
114180,1
76619,0
117853,1
125105,1
84775,1
124215,0
79411,0
129043,1
83050,0
35527,0
47561,0
4971,1
126944,0
60528,1
16084,0
83544,0
40414,1
102058,0
113697,1
111293,0
44140,0
133244,0
93367,0
8462,0
89920,0
83189,0
8376,0
127953,1
83935,0
50346,0
95488,0
37878,0
80052,0
15417,0
56332,0
128421,1
119088,0
108150,1
82352,0
64108,0
62488,0
556,0
39361,1
132417,1
69328,1
38061,1
37240,0
95169,0
89101,1
14379,0
128940,0
68711,1
97706,1
48173,0
833,0
90280,0
80569,0
112175,0
38243,0
6922,0
112837,0
35440,0
53368,0
109645,1
127270,0
2176,1
4677,0
85890,0
58753,0
90342,0
90114,1
18820,0
56581,0
73800,1
1637,0
116656,0
63998,1
134253,0
60530,0
39087,1
75909,0
27710,0
126219,0
84034,1
58235,0
19795,1
122515,0
35848,0
5394,0
51938,0
2680,0
132649,0
18237,0
111023,1
48341,0
134179,0
119055,0
90519,1
77140,1
85255,0
18139,1
107836,0
13851,1
137399,0
27613,1
59125,0
3659,1
110400,1
32562,0
53900,0
17463,0
10857,0
14484,1
106142,0
112260,0
54212,0
25103,1
41343,1
52471,1
122934,0
36540,1
127567,0
114743,0
72066,0
65724,0
25957,1
110267,1
114745,0
96249,0
122950,1
75622,0
34338,1
54513,1
104594,0
132172,1
136608,1
52388,0
33052,0
96700,0
9544,1
50003,0
22348,0
33457,0
20308,0
108427,0
100731,1
47236,0
90397,1
100193,0
113785,0
16476,1
68638,1
8632,0
86118,0
127813,0
128359,1
55853,0
47778,0
19663,1
35238,0
118185,1
93478,0
76415,0
115398,1
16008,1
59168,0
5267,0
41387,0
43867,0
52008,0
18873,1
12959,0
104882,0
18434,1
91590,0
199,1
133756,0
2113,0
40844,1
105919,0
91180,1
130712,0
120311,1
35731,0
62850,0
130675,1
32989,0
131075,0
68274,0
136810,0
103167,1
38821,0
86309,0
102395,0
61353,1
26112,1
55939,1
134943,1
16904,0
85870,1
9079,0
15930,1
86909,0
101556,0
38390,0
4819,0
53273,1
95255,1
26031,0
37067,0
124403,0
54493,1
37614,1
60240,1
44630,0
21389,1
47555,0
136764,0
92829,0
93418,1
112056,0
34777,0
129528,0
69073,0
44283,0
85992,0
103026,0
76208,0
126506,1
98984,0
54360,1
113842,0
8846,1
19710,1
37558,0
106976,0
12183,1
46959,1
14794,0
20096,0
110448,1
64885,1
53696,0
128020,0
106864,0
116202,1
78496,0
51577,1
69946,1
93323,1
67476,1
132596,1
133962,0
104739,0
32482,0
76731,1
48236,0
61306,0
72471,0
49064,0
50153,0
89297,1
135110,1
10701,1
49610,0
47327,0
87523,1
121097,0
130864,1
2507,1
34657,0
114701,0
74294,0
81221,1
132765,0
120131,0
122419,1
101197,1
137248,0
81910,0
50794,0
635,0
33909,1
8117,0
32931,1
32063,0
67540,0
45764,0
27801,1
116443,1
49643,1
110582,0
88989,0
83777,1
37682,0
90667,1
128161,0
126940,0
113216,1
96633,1
6882,1
4915,0
66723,0
53919,1
50040,1
66066,0
15298,0
137282,0
79709,0
89325,1
49114,0
5397,1
137631,0
27997,1
30773,1
118912,0
68532,1
121076,0
118223,0
27970,1
72111,1
15933,1
144,0
59523,0
80474,1
32907,0
67894,0
1643,0
9754,1
75603,0
97443,0
45556,0
12897,0
107209,0
114257,1
6346,0
64897,0
69300,1
95786,0
113913,0
49923,0
57283,1
130193,0
89935,1
62726,0
98797,1
35886,0
29729,0
74298,0
17172,0
128803,1
110647,1
46013,1
46005,0
68284,1
20275,1
123005,0
113325,0
14885,1
26269,0
58454,0
74305,1
33100,0
16681,0
134237,1
112422,0
80574,0
125627,1
110481,1
46931,0
57296,0
16717,0
127765,1
69136,1
44771,0
129083,0
26835,0
29584,0
6356,0
121962,0
30006,1
131696,1
83480,0
134757,0
4298,1
105513,0
83284,0
111152,1
57483,1
130305,1
11210,0
82995,1
137213,1
9857,0
56529,0
113595,0
46315,1
80764,0
121090,1
17426,0
99865,0
102486,1
116853,0
113398,1
107094,0
109368,0
18081,0
137793,0
85544,1
95251,0
116103,1
21325,0
115731,1
47817,1
117382,0
82480,1
93755,0
113245,0
84364,1
12201,1
70743,1
129741,0
109824,1
63423,0
102139,1
45723,0
101698,1
116025,1
130652,1
64322,1
63034,1
77131,0
75476,0
85955,0
102154,0
102695,1
3935,0
81307,0
109700,1
32711,0
32428,0
12328,0
42263,0
29025,0
116986,1
122306,0
58168,0
78760,0
88483,1
28921,0
105383,1
110906,1
107006,0
132345,0
95191,1
8703,1
116703,0
15829,0
117758,1
120334,1
40828,1
84960,1
55175,1
11508,1
33106,1
53093,0
30783,1
121491,1
26429,0
38282,1
90286,1
79105,0
16458,0
53467,0
78517,0
118695,1
12779,1
131200,0
135115,1
125524,0
103056,0
55158,1
63026,0
110302,1
37761,0
53840,0
23692,0
44197,0
105390,0
100175,0
36903,0
8329,0
19499,0
130743,0
80150,1
6421,1
93115,1
26204,0
27901,0
124139,1
15957,0
114462,1
34504,0
33378,1
44904,1
93931,0
77408,0
86016,0
121750,1
81226,0
88783,1
79359,0
128858,1
39184,1
89816,0
31907,0
108952,0
51324,0
64612,0
21440,1
74622,1
55352,1
38732,0
123188,1
90172,0
7603,0
84838,1
87643,0
81169,1
50779,0
95739,1
48746,0
119978,1
89514,1
65053,1
36295,0
102391,0
92394,1
19617,0
25000,0
113363,1
120094,0
5310,1
133758,0
22095,0
28639,0
38366,1
53399,1
130323,0
8568,0
87161,0
21797,1
73250,1
30087,0
10729,1
70855,0
65894,0
98180,0
3744,1
135575,0
84136,0
55801,1
134952,1
57378,0
116405,0
131819,0
47671,0
102820,0
68828,0
63570,1
36368,1
24185,0
79194,0
79692,0
56562,0
92487,0
95658,0
54815,1
106361,1
100422,0
58657,0
62587,1
117162,0
38339,0
71654,1
72242,1
31862,1
85324,0
67202,0
127164,0
92370,0
75798,1
60055,1
98432,0
105705,0
116962,0
111195,0
33117,0
60747,0
114256,0
82610,0
5550,0
42747,0
41199,0
25977,1
24818,1
64409,1
102672,1
9212,1
48795,0
41350,0
12229,0
5599,1
31370,1
136693,1
3965,0
113629,0
46810,0
68269,0
70384,0
76190,0
61242,0
78053,0
65277,0
85722,0
116535,0
123990,0
113923,1
46692,1
22955,1
68132,0
90261,0
73070,0
111249,1
113730,0
65673,1
103073,0
35076,1
53909,0
390,0
113988,0
12826,0
97095,0
49105,0
68815,0
63524,0
8884,1
25007,1
67094,0
58886,0
78547,0
70293,0
59579,0
133309,0
127170,0
31986,0
73299,0
67171,1
87946,0
126958,1
7011,0
31260,1
115141,1
114307,0
24105,0
46228,0
134810,0
131538,1
52615,0
77573,1
19226,0
115004,0
21540,0
121378,0
3595,0
89227,0
83267,0
117583,0
3924,1
80349,1
106994,0
61285,0
117917,1
25647,1
6232,0
19639,0
10692,0
115701,0
14873,1
51146,0
60853,0
83760,0
79177,0
91727,1
77485,0
2866,1
34468,1
21379,0
71653,0
24059,0
3943,0
134403,1
79782,0
9195,1
76429,0
19113,1
47225,0
53554,0
36827,0
108778,0
15103,0
127865,1
30178,1
78351,0
136803,0
40271,0
50701,1
131717,0
4052,0
101124,0
50757,0
123383,0
110429,0
104026,1
98329,1
65889,1
94267,0
85118,1
8082,1
71936,0
86611,0
107321,1
51486,1
133687,0
24074,0
59109,0
14129,1
105483,0
19029,0
64213,1
29799,1
124738,1
16852,0
29510,0
48067,0
24158,0
135658,0
113099,0
110463,0
22444,1
28085,0
15626,1
123024,1
43,0
27121,1
61428,1
71083,1
95330,1
104698,1
95645,0
103392,0
113185,1
78730,1
91586,0
55000,1
23843,0
51405,0
89641,1
132311,0
92744,0
46713,1
90005,0
16545,1
7786,1
88723,1
12518,1
24632,1
26035,0
122666,1
112384,1
34477,1
67226,1
88021,0
47599,1
67302,1
133032,1
28697,0
132447,0
132688,1
49613,1
107418,1
56795,1
69280,1
6242,0
102310,0
17095,0
89650,1
43437,1
66669,0
133732,1
116171,1
81418,1
63190,1
75487,1
118195,1
57201,0
98236,0
79888,1
123156,1
135880,0
117671,0
12230,1
83649,1
93569,0
107587,0
96340,1
61371,0
11302,0
54613,0
47379,0
129955,0
10006,0
107881,0
22645,0
90465,0
51359,1
86669,0
562,1
107659,0
39149,1
67966,0
58620,0
128574,1
100398,0
37511,0
57549,0
9947,0
125715,1
117472,1
82948,0
115272,0
68024,1
35531,0
11026,0
118932,1
28480,1
20121,1
127233,0
127782,0
7252,0
89353,0
53754,0
103432,0
82987,1
43719,0
77127,0
21535,0
117850,0
94499,1
69691,0
47363,1
136413,0
62914,1
77173,1
64712,0
20200,0
57358,0
11596,0
95607,1
96630,0
98874,1
106174,0
92586,0
64095,0
26494,1
104856,1
2568,0
75454,0
33009,0
58144,1
7903,0
135152,0
7837,0
122906,0
80502,0
132916,1
79221,0
131595,0
25930,0
85342,1
74473,0
39873,0
31091,0
90636,1
21064,1
100075,0
131207,1
17436,1
30480,0
12556,0
46402,0
35554,1
114136,0
67078,1
59706,1
8338,1
17033,1
60542,0
903,0
22023,0
45412,0
1620,0
62897,0
96741,1
54253,1
50255,1
60945,0
2359,0
129578,1
64991,0
5516,1
29516,0
115318,0
65606,0
52532,1
56614,0
89586,0
13112,0
128663,0
55640,0
69783,1
36045,0
20049,0
78449,1
3527,0
24859,1
81382,1
136569,0
85026,1
97881,1
121433,1
101741,0
13511,0
60624,1
56997,1
44181,1
609,1
114179,0
60566,1
123598,0
115328,0
83324,1
24061,0
99538,0
49567,1
33959,1
114782,0
15171,0
123806,0
32189,1
81511,0
75827,0
59178,1
106931,1
16903,0
14868,1
78030,0
77477,0
85879,1
114954,0
124291,0
23233,0
10488,1
125170,0
107931,1
97129,0
2090,0
119938,0
77349,1
120804,1
1626,0
119193,1
117296,1
15581,0
123906,1
98648,0
5577,0
49988,0
129864,0
125906,0
5270,1
52991,0
90451,0
99558,1
40674,0
103792,0
101743,0
37518,1
118554,0
101630,1
109883,1
82,0
23767,0
121253,0
53065,0
51104,0
24797,1
54981,1
43839,1
35454,1
89491,1
27926,0
27635,1
71599,0
92787,1
2997,0
27188,0
58723,0
39408,1
57801,0
41717,0
120335,1
45102,0
107198,0
132726,0
74606,0
76790,0
123301,0
2344,1
52001,0
82268,1
128163,0
89940,0
69077,1
59200,1
46594,0
74776,1
85963,1
23584,0
55479,1
17528,0
22514,0
72798,0
4443,1
28174,1
33231,1
18518,0
92147,1
88701,0
103396,0
97730,1
61361,0
65330,1
18626,0
37480,0
49490,0
128065,0
765,1
108801,0
24460,1
7689,0
106742,0
82384,0
83286,0
118178,0
72746,1
39530,1
17386,0
111221,0
4158,0
29610,0
6944,0
45907,1
81166,0
119642,1
119666,1
8676,1
53854,0
37780,0
50443,1
66876,0
58146,0
19474,0
10318,1
104988,1
80345,0
106777,1
86020,0
107342,0
18657,1
124992,0
124844,0
36065,1
122341,0
1201,0
74735,0
28605,0
52224,0
66265,0
65555,0
52127,0
61821,0
24745,0
5597,0
46096,0
132007,1
135432,0
119003,0
16613,1
41097,0
97808,0
130271,0
120393,1
65346,0
27574,0
26527,1
62694,1
19853,1
50455,0
113304,0
